PF,S_AST,S_TOV,S_BLK,game_count,FG_PCT_O,REB_O,PF_O,PTS_S_O,O_FGA_S_O,O_TRB_S_O,O_WIN_PCT,avg_conf_rank_ratio,matchtup_rank,wins_rank,PC4,game_series_away_D,conf_rank_wins_in_row_B,matchup_wins,stage,PC2,opp_game_vs_season,game_vs_opp_season,matchup_REB_r_s,MCA_0
23.0,28.34722222222222,17.375,4.527777777777778,7,0.429,47.0,27.0,101.5,82.7,41.2,0.683,0.9008097165991904,135.996,45.4350288425444,-0.4591057177848093,0,0,0.6923076923076923,1,-6.893043963362822,9,10,40.0,-0.7711479445134696
23.0,26.11111111111111,14.791666666666666,4.722222222222222,10,0.471,44.0,21.0,113.1,83.2,41.8,0.622,0.7192619851792105,145.73363636363635,47.019038988498025,1.00294305078394,1,0,0.9545454545454546,2,-4.810243871248122,8,4,40.0,-0.4931004741298353
28.0,21.625,13.59722222222222,5.027777777777778,11,0.378,52.0,19.0,89.3,80.3,43.7,0.606,1.4906622724419334,192.42291304347825,43.5,0.6118240632947719,0,0,1.184782608695652,2,-2.7338468627925834,7,6,40.0,-0.320754870594971
21.0,20.68055555555556,16.291666666666668,4.958333333333333,2,0.514,33.0,30.0,92.2,81.3,42.3,0.549,0.795505617977528,69.571791005291,46.96292478040998,1.787460699400916,1,0,0.4841269841269841,1,-6.4731242250334065,7,11,32.0,-0.7688608961800263
17.0,25.18055555555556,14.541666666666666,4.25,3,0.337,54.0,19.0,102.6,87.7,40.2,0.671,0.8765880217785845,141.5426517857143,46.146428199482244,-1.91407761145277,0,1,0.9464285714285714,1,-6.208469252381172,10,7,44.0,-0.6270565061296922
26.0,25.59722222222222,16.40277777777778,5.069444444444445,5,0.344,54.0,27.0,96.7,77.6,41.6,0.659,1.3839051949841534,86.68015624999998,44.49654339337832,-3.3710957036245084,1,0,0.625,1,-4.637614398225585,9,8,40.75,-0.6501433156569296
26.0,24.26388888888889,13.01388888888889,5.5,2,0.433,47.0,19.0,108.3,94.0,45.8,0.767,0.7747228496508036,56.80540000000001,54.667261889578036,-6.405062623169118,1,0,0.3,1,-7.421632325729123,10,13,38.333333333333336,-0.6453544656924588
26.0,30.375,17.305555555555557,5.555555555555555,8,0.532,43.0,20.0,98.9,83.4,42.2,0.646,0.5619047619047619,148.31343333333334,58.70232056149777,1.732566556316035,1,0,0.9333333333333333,2,0.6479915992754409,10,8,38.5,-0.20716516490364856
23.0,29.166666666666668,17.02777777777778,6.75,7,0.419,41.0,22.0,99.2,82.1,41.0,0.585,0.5632043116119549,159.64374999999998,54.0,-1.7938032837652667,0,1,0.875,2,-0.027922777051047697,9,7,42.0,-0.28330520515758884
25.0,25.194444444444443,15.791666666666666,5.791666666666667,7,0.464,35.0,24.0,90.1,86.4,42.8,0.549,0.9502262443438915,183.23088461538464,71.4863156129983,1.1251953175092066,0,0,1.0961538461538463,2,6.306356574339802,8,13,41.5,0.306122813774458
