Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
25.0,Indiana Pacers,72,242.4,42.7,91.3,0.468,11.5,31.5,0.366,31.2,59.9,0.521,18.4,23.5,0.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3,2020
26.0,Oklahoma City Thunder,72,241.0,43.4,91.7,0.473,13.6,37.3,0.364,29.8,54.4,0.548,15.3,19.8,0.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6,2020
27.0,Houston Rockets,72,240.3,42.7,89.0,0.48,13.4,35.2,0.382,29.3,53.9,0.544,17.9,22.8,0.783,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7,2020
28.0,Sacramento Kings,72,240.3,43.6,89.4,0.488,12.4,32.6,0.38,31.2,56.8,0.549,17.8,22.7,0.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4,2020
29.0,Minnesota Timberwolves,72,241.7,43.0,89.3,0.482,13.1,33.5,0.392,29.9,55.8,0.536,18.5,23.5,0.786,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7,2020
30.0,Washington Wizards*,72,241.7,43.1,91.6,0.471,12.4,33.7,0.369,30.7,57.9,0.529,19.8,25.4,0.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5,2020
,League Average,72,241.4,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17.0,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,2020
1.0,Boston Celtics*,82,242.7,38.3,88.1,0.434,11.8,34.9,0.339,26.4,53.2,0.497,16.1,20.6,0.783,10.5,33.3,43.7,21.6,7.5,4.6,13.8,19.4,104.5,2021
2.0,Dallas Mavericks*,82,240.9,39.0,85.4,0.457,10.9,32.1,0.34,28.1,53.2,0.527,15.8,20.6,0.767,9.5,34.1,43.6,23.5,7.0,3.7,13.1,20.1,104.7,2021
3.0,Golden State Warriors*,82,240.6,37.9,86.6,0.438,12.2,36.0,0.339,25.7,50.6,0.509,17.4,22.9,0.759,9.7,33.0,42.6,22.9,7.9,3.9,14.5,18.0,105.5,2021
4.0,Miami Heat*,82,242.1,37.5,84.0,0.447,13.0,38.3,0.339,24.6,45.7,0.537,17.5,22.5,0.779,9.5,32.1,41.7,23.3,7.4,4.0,15.0,20.6,105.6,2021
5.0,Cleveland Cavaliers,82,240.6,39.5,87.2,0.452,11.7,33.2,0.353,27.8,54.0,0.514,15.0,19.4,0.774,10.5,32.4,42.9,24.1,8.4,4.6,13.4,20.0,105.7,2021
6.0,New York Knicks,82,241.2,38.5,86.0,0.447,12.7,37.0,0.342,25.8,49.0,0.527,17.0,22.3,0.764,9.3,34.3,43.6,24.2,7.0,4.6,12.7,20.4,106.6,2021
7.0,Toronto Raptors*,82,242.1,39.0,84.4,0.462,12.4,34.9,0.354,26.6,49.5,0.538,16.8,21.2,0.789,10.3,33.7,44.0,25.3,6.7,5.1,15.8,19.1,107.1,2021
8.0,Phoenix Suns*,82,240.6,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3,2021
